tweet_bersih,label_sentimen,label_prediksi
astaga sekolah offline,-1,negatif
sekolah offline bosan sekolah offline saya bosan,-1,negatif
sekolah offline semangat jojooo,1,positif
unty hai yuk sekolah offline kayak semangat ajar sekolah pikir pikir,1,positif
sch hai teman teman sender ptm kali sekolah alias masuk takut percaya semangat offline daring,-1,positif
adik sekolah offline kakak tahan meja ajar suap kucing,0,positif
sekolah offline daring,0,netral
sekolah offline papay guyss,-1,negatif
pagi sekolah offline daring,0,netral
sch wtp sender sekolah offline semangat daring offline,1,positif
offline sekolah orang heboh rumah sekolah,1,positif
saya sekolah offline bawa malas waka mentwit i think im oke,-1,negatif
sekolah offline,0,netral
sekolah offline tidur jam,0,netral
adik sekolah offline sarapannyaa jam seginiii,1,positif
pagi moots cung sekolah offline,1,positif
sekolah offline,0,netral
sekolah daring offline nin,0,netral
wahhhh sekolah offline daring ai,0,netral
rumah adik jadwal sekolah offline wkwk,1,positif
saya sekolah offline,1,positif
sebal banget dahhh pagi sekolah offline eh hujan motor oi masuk angin,1,positif
sekolah offline saya tidur,-1,positif
pagi moots sekolah daring offline offline,1,netral
hsjahskah sekolah offline rasa banget selesainyaa stres saya,-1,negatif
hai bestie saya sekolah offline,1,positif
saya bolos sekolah offline anjing,-1,negatif
sekolah offline daring,0,netral
ptm kadang malas bangun pagipagi biasa daring masuk jam pas offline set berangkat sekolah badan tempel kasur,-1,negatif
sekolah offline,0,netral
sekolah neng daring saya tangkap serius kerja seru offline,0,netral
lowong kerja kolong meja offline isi buku pinjeman pus sekolah bawa buku catat,1,positif
anjing besok sekolah offline aduh,-1,negatif
kangen sekolah offline,1,positif
langit kah engkau turun hujan petir besok malas sekolah offline,-1,negatif
schapp sch besok sekolah offline takut teman teman kelas nge circle,-1,negatif
cantik kali pundipundi uang sok terima kasih pandemi saya ngoleksi skinker andai saya lulus sekolah offline muka hideung dekil gakaruan uang pindah haluan nasi warung tegal skinker aga sesal saya duit utuh gadubeli,0,netral
sekolah pulang alias gapengen sekolah offline,-1,negatif
tahu lomba offline sekolah lomba daring serti kayak lomba offline tingkat nasional diadain universitas indonesia pakai correct me if i am wrong,0,netral
besok pagi masuk sekolah offline sekaranh tidur,0,positif
sekolah offline,0,netral
besok sekolah offline gilir genapppp,1,positif
iyaah aman xd wkwk hayo biasa biasa bangun jam sekolahkuliah offline,1,positif
menang kayak pas normal offline sekolah bangtan comeback po album fullpay gara gara sibuk rl rasa banget rilis arrived ina santai kayak banget,0,netral
sok tomorrow finally offline school i do not know to react umum days ago saya cari alat sekolah gaktau ada sekolah,0,netral
semenjak sekolah offline stres,-1,negatif
pikir kayak banget bilang handphone teross pegang handphone sekolah kayak iya sekolah offline pagi sore diam seko pegang handphone malemnya pegang handphone,1,positif
sekolah offline tidur,0,netral
besok sekolah offline,1,positif
sekolah offline full kelas rumah teman senang banget having fun bestie avv,1,positif
sekolah offline eh kayak saya doang,-1,negatif
orangorang benci sekolah offline keluh pribadi pikir normal,1,positif
lebih baik biasa sekolah daring kayak doa moga p word panjang ayo sekolah offline sila nama home schooling,1,positif
sekolah offline kayak mentally unstable,-1,negatif
adik saya cari tas sekolah besok offline,0,netral
masuk lihat kknya sekolah tk ikut ku masuk didik anak usia offline bunda,1,positif
besok sekolah offline tugas video masak,1,positif
efek antuk ayo kawan tidur malam malam gutnait tidur besok sekolah offline saya vi,1,positif
kak kayak abang daring abang offline kayak sekolah iya,0,netral
gek adaptasi sekolah daring offline aduh,-1,negatif
saya sekolah offline kelas ramai banget saya nimbrung obrol diam malu heboh pas kelas,0,positif
tugas saya sekolah offline heran deh,-1,negatif
malas banget besok sekolah offline,-1,negatif
sekaliii semangat jalan sekolah offline capek tambah x lipat sedih banget biasa kali wkwk offline paham materi,1,positif
aduh enak sekolah daring offline seperti malas banget mandi pagi sarap tidur tertawa,-1,negatif
stase anak obgyn ipd jaga pagi yuk yuk corona ilaaangg aktivitas kuliah sekolah normal vaksinasi anak coba kelas offline siswa iya kak sekolah daring bego,1,positif
jujur suka daring masuk materi suasana sekolah suka offline,0,netral
semenjak sekolah offline tidur bangun pagi capek banget,-1,negatif
tahun doang offline and lumayan an sayang duid anjirun biaya sekolah mahal saya beban,0,netral
saya takut besok pas masuk sekolah mata bengkak anjing sekolah offline guru mata habis nangisin cowok au bu binggung guru,-1,negatif
please tidur besok kali sekolah offline abad,0,positif
capek sekolah offline,-1,negatif
allah besok ulang bio offline daring offline erti sekolah ulang pakai handphone nasib ku gimaneee ajar bolsi kirim video jeongwoo jihoon belajarr,-1,netral
enak asli beli jual keliling jarang kadang sekolah offline pas pulang beli,1,positif
sekolah offline cocok manusia lupa untung teman kerja rumah mampoes,-1,negatif
sekolah offline kamu teman deobi kelas,0,netral
pas offline pakai tab sekolah pakai buka youtube rekreasi,0,netral
study progress tua oct hai hai maaf jarang banget up progress offline jadwal padat buka twitter sekolah ulhar bio sksk by the way chemistry and math for my tuesday rest well teman,-1,negatif
dengar gedung kosong dulunya sekolah offline siap basa basi,0,netral
suruh jam set malam suruh selesai besok besok masuk sekolah offline,0,positif
lal sekolah offline,0,netral
janlup istirahat yin sekolah campur kadang offline daring anw goodnite,0,netral
besok masuk sekolah offline malas,-1,negatif
by the way teman teman sekolah offline iya,1,positif
sesal saya masuk sekolah offline digibahin guru kantor,-1,negatif
besok sekolah offline,1,positif
saya bagi sekolah offline ulang,-1,negatif
hiiii kak chitaaaaa capek banget sekolah offline huhu,-1,negatif
au feeling blue saya gatauu lanjut kena writers blok cari jadi pas sekolah offline nyata au,1,positif
haloo junnie junnie besok minggu junnie pas offline sekolah tidaaaa junnie off junnie selesai pas maaf caratdeul semuaa oh iya pas pas junnie doa c,0,netral
sekolah offline capek iya,-1,negatif
besok sekolah offline,1,positif
study tour ada sekolah offline pas kelas kelas daring kelas ptm,1,positif
kelas sekolah offline daring suka sekolah offline daring,0,netral
offline capek banget saya sekolah badan jompo kagok,-1,negatif
sa daerah daring semester maret agustus offline pas daring web sekolahwa kasih file materi kadang kirim wa pakai zoomgmeetgcrdsb,1,positif
ihhb sekolah offline rena sakit daring rena sakit,-1,negatif
ren tukar yuk sekolah daring sekolah offline,-1,netral
apa sekolah offline,1,positif
sekolah offline sesi siang kali capek banget pusing,-1,negatif
sekolah daring offline,0,netral
alas utama saya sekolah offline disuruhsuruh benci anak cowok laku kayak raja anak cewek like a babu,1,positif
sekolah offline akksjksjsks sibuk banget,-1,negatif
walah sekolah offline,-1,positif
sekolah offline otak jalan,1,positif
makan pas sekolah offline tulis pakai aksara sunda,1,positif
jujur sekolah offline seru wlupun canggung ketemu seengganya saya rumah,1,positif
sekolah offline sekolah pilih kayak off off on on,-1,negatif
aaaaa lari besok sekolah offline,-1,positif
besok sekolah offline,1,positif
kadang sekolah offline rumah sepi pikir offline ongkos ojek,0,netral
buka yttiktokigtwitternonton filmmain game sekolah offline pakai kouta,1,netral
sekolah offline pilih jam kosong,1,positif
rindu lupa mana masuk sekolah offline seru seru papa bibi ku tinggal sakit jantung,1,positif
sekolah offline,0,netral
bawa kecuali pas sekolah offline larang bawa bekal,1,positif
bicara mama pas sekolah offline pulang sekolah mama sekolah teman teman mama suruh pindah sesi pagi bilangny entar lihat minggu,-1,positif
asyik sekolah offline,1,positif
suka sekolah offline daring,0,netral
banget pas pikir sekolah offline degan melulu,-1,negatif
unty istirahat ji capek habis sekolah offline,-1,negatif
sebentar sekolah offline musowoooowoowowwo,-1,negatif
oh my god rabu saya sekolah offline,1,positif
besok saya sekolah offline weh private class,1,positif
anjing mampus besok sekolah offline kaos kaki putih hilang mana,-1,negatif
kali sekolah offline kali,0,positif
sekolah offline,0,netral
anjing gah sekolah offline sesak ramangkat ah,-1,negatif
anjing sekolah offline guru ngelunjak kasih tugas,-1,negatif
fess senang banget sekolah offline jajan sekolah dasar,1,positif
sekolah offline,0,netral
schapp siswa kelas sekolah offline pulang sekolah antuk banget tidur ajar utbk kasih tips lawan kantuk fokus ajar for your information orang ajar malam fokus,1,positif
habis sekolah bersih bersih kelas awal november offline bakalll sibukkkk,-1,positif
sekolah offline,0,netral
sekolah daring offline jam pekan jam an,0,netral
suka sekolah offline daring,1,netral
anak twitter masuk sekolah offline pas pinjam hapus teman mjb nderkamu hapus teman satu nyaut mmf ikut nimbrung,1,positif
sch sekolah seleksi seleksi geografi ajar bimbel offline,0,netral
sekolah offline,0,netral
sch sekolah offline coba review sender belumjarang interaksi teman diam istirahat mata ajar paham guru oke seru pulang pulang rasa capekk,1,positif
serius bingung banget teman kelas senang daring bayang offline sekolah jam guru jarang kasih kerja rumah materi mudah erti daring tugas kejar deadline materi erti encok begadang aduh,1,positif
sekolah offline seru tugas,-1,negatif
tolong sekolah offline pergi dudnhzjs aefer my love,1,positif
ck besok sekolah offline,1,positif
lebih baik masuk ptmt situasi kondisi paham materi sekolah sekolah offline berani sungkan,-1,negatif
sepi moguuuu offline sekolah kerja,0,netral
sekolah offline,0,netral
iya semangatin orang beda sibuk anak sekolah offline uji semester,1,positif
jay tuspi scylla gemas banget banget banget pulang sekolah offline paket trade ksjshshjsgsgs,1,positif
foto orang stres habis sekolah offline bissmilah allah terima kasih kak sukses,-1,negatif
kilas informasi senin saya sekolah offline,1,positif
selesai daring habis siap besok sekolah offline,1,positif
iya bau bau daring tugas aneh full offline sekolah soreeeee,-1,negatif
internet offline solusi ajar jarak sekolah,1,positif
masuk teman giat biasa ah kangen sekolah offline normal saya alah,1,positif
cepat cepat sekolah offline jujur sekolah satu kabur suntuk rumah,1,positif
sekolah offline capek offline bego tiada tara,-1,negatif
sekolah offline buat capek offline bego,-1,negatif
sekolah offline seru capek,1,positif
vaksin mahasiswa sekolah offline anak sekolah dasar komedi,-1,positif
sekolah offline plissss huee,1,positif
semenjak covid saya kenal korea pop overthinkingan idol jarang baru doang saya pindah sekolah pas covid teman muka saya semenjak saya sekolah offline teman cowok,-1,negatif
jujur saya sekolah offline no prob makan rumah sekolah daring saya lapar melulu sksksk,1,positif
bayang anjing saya pagi kebelet berak sekolah offline,-1,negatif
saking dekat rumah bel dengar sekolah offline bel dengar senangnyaa pergi normal,1,positif
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1,negatif
rhmsoo haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1,negatif
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1,negatif
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1,negatif
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1,negatif
haloo maaf jarang jbjb sekolah offline huhu jbjb moots pulang sekolah,-1,negatif
sekolah offline bawa uang jajan,0,netral
sekolah offline,0,netral
banget beli laptop min kebel butuh adik sekolah offline butuh laptop jurus bismillah,1,positif
hai sekolah offline daring,0,netral
bahagia me ngantarin gempur sekolah offline,1,positif
accord aktif unfollow jarang on sekolah offline,0,netral
zoom class mati kamera masuk sekolah offline langsung bentuk,-1,negatif
